,extended,latitude,longitude,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
0,0,6.637796,124.599145,0,0.0,1,0,3,14,34,0,6,11.0,1,0.0,Abu Sayyaf Group (ASG)
1,1,10.338213,123.942398,0,0.0,1,0,6,14,10,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
2,0,6.929089,122.07885,0,0.0,1,0,3,15,35,0,6,1.0,1,0.0,Abu Sayyaf Group (ASG)
3,0,6.700414,121.972557,0,0.0,1,0,2,4,41,0,5,4.0,1,0.0,Abu Sayyaf Group (ASG)
4,0,7.751209,123.148704,0,0.0,1,0,7,8,80,0,8,1.0,1,0.0,Abu Sayyaf Group (ASG)
5,1,7.291386,122.064633,0,0.0,1,0,6,14,89,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
6,0,6.681959,121.985477,0,0.0,1,0,3,4,17,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
7,0,7.083241,125.600998,0,1.0,1,0,3,19,24,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
8,1,6.51792,122.12822,0,0.0,1,0,6,1,46,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
9,1,6.720228,122.030205,0,0.0,1,0,6,14,39,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
10,0,6.050458,121.012245,0,0.0,1,0,1,15,82,0,5,2.0,0,0.0,Abu Sayyaf Group (ASG)
11,1,6.62139,122.143825,0,0.0,1,0,6,14,42,0,9,4.0,1,1.0,Abu Sayyaf Group (ASG)
12,1,7.075778,125.587755,0,0.0,1,0,6,14,29,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
13,0,6.556828,121.883449,1,0.0,1,0,1,14,66,0,9,1.0,0,0.0,Abu Sayyaf Group (ASG)
14,0,6.089515,121.105521,0,0.0,1,0,2,4,30,0,5,5.0,-9,0.0,Abu Sayyaf Group (ASG)
15,0,6.11622,125.169395,0,1.0,1,0,3,1,75,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
16,1,6.05519,121.001323,0,0.0,1,0,6,14,28,0,5,0.0,-9,1.0,Abu Sayyaf Group (ASG)
17,0,6.41871,121.972443,0,0.0,1,0,2,14,67,0,9,2.0,-9,0.0,Abu Sayyaf Group (ASG)
18,0,5.9735,120.9698,0,0.0,1,0,2,2,33,0,5,1.0,0,0.0,Abu Sayyaf Group (ASG)
19,1,5.544054,120.815636,0,0.0,1,0,6,14,19,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
20,0,14.601285,120.952293,0,0.0,1,0,3,11,61,0,6,116.0,1,0.0,Abu Sayyaf Group (ASG)
21,0,7.209594,124.241966,0,0.0,0,0,3,14,6,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
22,1,6.704221,121.973842,0,0.0,1,0,6,12,87,0,5,0.0,-9,1.0,Abu Sayyaf Group (ASG)
23,0,6.066693,121.100042,0,0.0,1,0,7,8,38,0,8,0.0,1,0.0,Abu Sayyaf Group (ASG)
24,0,6.660501,122.138992,0,0.0,1,0,3,14,13,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
25,0,6.645308,122.10184,0,0.0,0,0,1,2,5,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
26,1,6.887752,122.154588,0,0.0,1,0,6,14,11,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
27,0,6.021834,121.16568,0,0.0,1,0,3,2,58,0,6,0.0,-9,0.0,Abu Sayyaf Group (ASG)
28,0,6.537162,122.163252,0,0.0,1,0,7,8,73,0,8,0.0,1,0.0,Abu Sayyaf Group (ASG)
29,0,7.024267,122.188903,0,0.0,1,0,3,19,56,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
30,0,6.524553,122.011764,0,0.0,1,0,2,1,52,0,5,1.0,0,0.0,Abu Sayyaf Group (ASG)
31,1,6.497216,122.105141,0,0.0,1,0,6,2,14,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
32,0,6.066667,121.1,0,0.0,1,0,3,4,83,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
33,1,6.599402,121.904055,0,0.0,1,0,6,12,52,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
34,1,6.545399,121.873756,1,0.0,1,0,6,2,9,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
35,1,7.037435,118.511496,0,0.0,1,0,6,1,64,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
36,0,6.053166,121.042788,0,0.0,1,0,2,4,20,0,5,5.0,-9,0.0,Abu Sayyaf Group (ASG)
37,1,6.066812,121.100482,0,0.0,1,0,6,2,71,0,5,1.0,-9,1.0,Abu Sayyaf Group (ASG)
38,0,6.643853,122.156371,0,0.0,0,0,3,8,51,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
