Combination 1/300: {'hidden1': 50, 'hidden2': 25, 'activation': 'relu', 'lr': 0.001, 'alpha': 1e-05, 'batch_size': 128}
Epoch 001 | Loss: 3.3594 | Train Acc: 0.1289 | Val Acc: 0.1393
Epoch 050 | Loss: 0.6312 | Train Acc: 0.7598 | Val Acc: 0.7381
Epoch 100 | Loss: 0.5218 | Train Acc: 0.8030 | Val Acc: 0.8202
Epoch 150 | Loss: 0.4899 | Train Acc: 0.7881 | Val Acc: 0.8000
Epoch 200 | Loss: 0.4598 | Train Acc: 0.8292 | Val Acc: 0.8357
Epoch 250 | Loss: 0.4383 | Train Acc: 0.8238 | Val Acc: 0.8333
Epoch 300 | Loss: 0.4185 | Train Acc: 0.8405 | Val Acc: 0.8464
Epoch 350 | Loss: 0.4104 | Train Acc: 0.8366 | Val Acc: 0.8476
Epoch 400 | Loss: 0.3925 | Train Acc: 0.8286 | Val Acc: 0.8167
Epoch 450 | Loss: 0.3904 | Train Acc: 0.8399 | Val Acc: 0.8417
Epoch 500 | Loss: 0.3830 | Train Acc: 0.8411 | Val Acc: 0.8393
Epoch 550 | Loss: 0.3712 | Train Acc: 0.8402 | Val Acc: 0.8310
Epoch 600 | Loss: 0.3645 | Train Acc: 0.8423 | Val Acc: 0.8500
Epoch 650 | Loss: 0.3579 | Train Acc: 0.8497 | Val Acc: 0.8381
Epoch 700 | Loss: 0.3516 | Train Acc: 0.8414 | Val Acc: 0.8202
Epoch 750 | Loss: 0.3564 | Train Acc: 0.8506 | Val Acc: 0.8583
Epoch 800 | Loss: 0.3488 | Train Acc: 0.8485 | Val Acc: 0.8476
Epoch 850 | Loss: 0.3498 | Train Acc: 0.8497 | Val Acc: 0.8583
Epoch 900 | Loss: 0.3459 | Train Acc: 0.8562 | Val Acc: 0.8536
Epoch 950 | Loss: 0.3458 | Train Acc: 0.8583 | Val Acc: 0.8536
Epoch 1000 | Loss: 0.3345 | Train Acc: 0.8658 | Val Acc: 0.8655
Epoch 1050 | Loss: 0.3292 | Train Acc: 0.8622 | Val Acc: 0.8583
Epoch 1100 | Loss: 0.3236 | Train Acc: 0.8586 | Val Acc: 0.8655
Epoch 1150 | Loss: 0.3272 | Train Acc: 0.8676 | Val Acc: 0.8667
Epoch 1200 | Loss: 0.3191 | Train Acc: 0.8613 | Val Acc: 0.8607
Epoch 1250 | Loss: 0.3191 | Train Acc: 0.8589 | Val Acc: 0.8345
Epoch 1300 | Loss: 0.3242 | Train Acc: 0.8682 | Val Acc: 0.8655
Epoch 1350 | Loss: 0.3207 | Train Acc: 0.8670 | Val Acc: 0.8679
Epoch 1400 | Loss: 0.3168 | Train Acc: 0.8613 | Val Acc: 0.8560
