extended,latitude,longitude,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
0,-11.967368,-76.978462,0,0.0,1,0,3,2,1533,0,6,0.0,1,0.0,Shining Path (SL)
0,6.649966,122.133527,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
0,9.338416,80.303394,0,0.0,1,0,2,4,672,0,5,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
0,7.883605,-76.631923,1,1.0,1,0,2,19,56,0,8,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
0,25.078006,86.222193,0,0.0,1,0,1,2,485,0,9,1.0,-9,1.0,Communist Party of India - Maoist (CPI-Maoist)
0,6.2675,-75.568611,0,0.0,1,0,2,1,1236,0,5,3.0,1,0.0,National Liberation Army of Colombia (ELN)
0,-29.861824,31.008293,0,0.0,1,0,3,2,125,0,6,0.0,1,0.0,African National Congress (South Africa)
0,12.481654,-87.173207,0,0.0,1,0,7,1,1353,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,43.178205,-2.31164,0,0.0,1,0,3,3,349,0,6,2.0,1,0.0,Basque Fatherland and Freedom (ETA)
0,15.544809,120.763556,0,0.0,1,0,5,14,1265,0,5,0.0,1,1.0,New People's Army (NPA)
0,43.291618,-1.977903,0,0.0,0,0,1,2,408,0,8,0.0,0,0.0,Basque Fatherland and Freedom (ETA)
0,-10.680652,-76.259918,0,0.0,1,0,3,21,1540,0,6,1.0,1,0.0,Shining Path (SL)
0,31.783739,35.160804,0,0.0,0,0,3,14,1391,0,6,0.0,1,0.0,Palestinians
0,16.546944,42.979444,0,0.0,1,0,3,4,0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
0,36.802461,34.629759,0,0.0,1,0,3,14,906,0,6,0.0,1,0.0,Kurdistan Workers' Party (PKK)
0,9.542234,8.899672,0,1.0,1,0,2,14,13,0,5,2.0,0,0.0,Fulani extremists
0,34.881348,44.62513,0,0.0,1,0,3,15,192,0,6,0.0,0,0.0,Al-Qaida in Iraq
0,-29.861824,31.008293,0,0.0,1,0,3,1,120,0,6,0.0,1,0.0,African National Congress (South Africa)
0,12.8,45.033333,0,0.0,1,1,3,4,273,0,6,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
0,31.950001,35.933331,0,1.0,1,1,3,1,203,0,6,20.0,1,0.0,Al-Qaida in Iraq
0,32.040763,75.401886,0,0.0,1,0,1,2,1630,0,5,2.0,0,0.0,Sikh Extremists
0,-33.366238,-70.505302,0,0.0,1,0,3,3,1030,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
0,52.50153,13.401851,0,1.0,1,0,7,6,425,0,9,0.0,1,0.0,Kurdistan Workers' Party (PKK)
0,13.980025,48.189154,0,1.0,0,0,2,1,268,0,5,0.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
0,12.822269,-86.002138,1,0.0,1,0,3,19,1357,0,5,3.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,37.312903,40.733951,0,0.0,1,0,1,8,919,0,5,4.0,0,0.0,Kurdistan Workers' Party (PKK)
0,6.929089,122.07885,0,1.0,0,0,3,18,43,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
0,17.864437,81.408409,0,0.0,1,0,3,2,495,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
0,10.3725,123.123611,0,0.0,1,0,7,1,1268,0,8,0.0,1,0.0,New People's Army (NPA)
0,54.607712,-5.95621,0,0.0,1,0,3,1,635,0,6,0.0,1,0.0,Irish Republican Army (IRA)
0,27.708754,85.329498,1,0.0,1,0,3,2,1122,0,6,0.0,1,0.0,Maoists
0,-11.967368,-76.978462,0,1.0,1,0,3,10,1804,0,5,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,36.229574,42.236244,0,0.0,0,1,3,4,48,0,6,15.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
1,4.667128,-74.106056,0,0.0,1,0,6,1,1496,0,5,0.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
0,35.170056,63.76864,0,0.0,1,0,2,3,1140,0,8,3.0,1,0.0,Taliban
0,24.128611,84.185712,0,0.0,1,0,3,3,486,0,6,1.0,-9,0.0,Communist Party of India - Maoist (CPI-Maoist)
0,17.554939,44.232357,0,0.0,1,0,2,14,447,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
0,12.933056,-86.348611,0,0.0,1,0,2,4,678,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,43.296482,5.36978,0,1.0,1,0,3,2,403,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
