extended,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
0,0,0.0,1,0,2,3,1981,0,5,1.0,0,0.0,Taliban
0,0,1.0,1,0,3,1,4754,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,0,1.0,1,0,3,1,765,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,0,0.0,0,0,3,21,338,0,6,0.0,1,0.0,African National Congress (South Africa)
0,1,1.0,1,0,3,6,355,0,6,1.0,0,0.0,Muslim extremists
0,0,0.0,1,0,3,4,3053,0,6,5.0,1,0.0,Muslim extremists
0,0,1.0,1,0,2,14,27,0,5,3.0,0,0.0,Fulani extremists
0,0,0.0,1,0,1,2,1828,0,5,1.0,0,0.0,Farabundo Marti National Liberation Front (FMLN)
0,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,National Liberation Army of Colombia (ELN)
0,0,1.0,1,1,3,14,13,0,6,6.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
0,0,0.0,1,0,3,14,2789,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
0,0,1.0,1,0,2,4,1715,0,6,0.0,-9,0.0,Donetsk People's Republic
0,0,1.0,1,0,2,14,27,0,5,1.0,1,0.0,Fulani extremists
0,0,0.0,1,0,2,2,3586,0,8,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,0,0.0,1,0,2,4,562,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,0,0.0,1,0,2,15,1211,0,5,0.0,0,0.0,Muslim extremists
1,0,0.0,1,0,6,14,31,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
0,0,0.0,1,0,3,3,1079,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
0,0,0.0,1,0,2,14,1471,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
0,0,0.0,1,0,3,4,577,0,6,2.0,-9,0.0,Al-Shabaab
0,1,0.0,1,0,3,4,2295,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
0,0,0.0,1,0,1,1,1944,0,5,1.0,0,0.0,Sikh Extremists
0,1,0.0,1,0,2,3,4664,0,5,1.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
0,1,0.0,1,0,2,19,549,0,5,3.0,1,0.0,Kurdistan Workers' Party (PKK)
0,1,0.0,1,0,3,14,205,0,6,0.0,1,0.0,Donetsk People's Republic
0,0,0.0,1,0,3,21,392,0,6,3.0,1,0.0,African National Congress (South Africa)
0,0,0.0,1,0,3,3,1068,0,6,0.0,1,0.0,Irish Republican Army (IRA)
0,0,0.0,1,0,2,4,0,0,5,0.0,-9,0.0,Abu Sayyaf Group (ASG)
0,0,0.0,1,0,3,15,3163,0,6,1.0,-9,0.0,National Liberation Army of Colombia (ELN)
1,0,0.0,1,0,6,14,1716,0,5,0.0,0,1.0,Donetsk People's Republic
0,0,0.0,1,0,3,14,3104,0,6,2.0,-9,0.0,Muslim extremists
0,0,0.0,1,0,2,4,50,0,9,1.0,0,0.0,Abu Sayyaf Group (ASG)
1,0,1.0,1,0,6,14,2862,0,5,1.0,0,1.0,Maoists
1,0,0.0,1,0,6,1,135,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
0,0,0.0,1,0,3,14,2738,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
0,0,0.0,1,0,3,3,275,0,6,0.0,1,0.0,African National Congress (South Africa)
0,0,0.0,1,0,3,1,958,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
0,0,0.0,1,0,2,2,1472,0,5,0.0,-9,0.0,Communist Party of India - Maoist (CPI-Maoist)
0,0,0.0,1,0,3,16,1735,0,6,0.0,-9,0.0,Donetsk People's Republic
0,0,0.0,1,0,2,14,2598,0,5,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
0,0,0.0,1,0,1,2,2965,0,5,1.0,0,1.0,Maoists
0,0,0.0,1,0,3,1,3061,0,6,0.0,1,0.0,Muslim extremists
0,1,0.0,1,0,3,4,1727,0,6,1.0,1,0.0,Donetsk People's Republic
0,0,1.0,0,0,3,2,1081,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
0,0,0.0,1,0,2,2,1269,0,5,1.0,0,0.0,Boko Haram
0,0,0.0,1,0,3,14,3889,0,6,6.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
1,1,1.0,1,0,6,14,1259,0,5,1.0,0,1.0,Muslim extremists
0,0,0.0,1,1,3,4,1217,0,6,8.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
0,0,0.0,1,0,1,3,275,0,6,0.0,1,0.0,African National Congress (South Africa)
0,0,0.0,1,1,3,1,765,0,6,90.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
0,0,1.0,1,0,3,1,965,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
0,0,0.0,1,0,3,2,4790,0,5,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,0,0.0,1,1,3,2,821,0,6,6.0,1,0.0,Al-Shabaab
0,0,1.0,1,0,7,14,27,0,8,0.0,1,0.0,Boko Haram
0,0,1.0,1,0,1,14,4253,0,5,1.0,0,0.0,Sikh Extremists
0,0,0.0,1,0,3,7,4569,0,6,1.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
0,0,0.0,1,0,3,3,175,0,6,0.0,-9,0.0,Al-Shabaab
0,0,1.0,1,1,3,15,215,0,6,2.0,-9,0.0,Tehrik-i-Taliban Pakistan (TTP)
0,0,0.0,0,0,3,14,285,0,6,0.0,1,0.0,Palestinians
0,0,0.0,1,0,2,4,3383,0,5,3.0,-9,0.0,New People's Army (NPA)
0,0,0.0,1,0,3,21,3942,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
0,0,0.0,1,0,1,14,4363,0,5,8.0,0,0.0,Sikh Extremists
0,0,1.0,1,0,2,2,3983,0,5,3.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
0,0,1.0,1,0,3,3,12,0,6,0.0,1,0.0,Al-Qaida in Iraq
0,0,0.0,1,1,3,8,1268,0,6,1.0,0,0.0,Boko Haram
0,0,0.0,1,0,7,19,1399,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
0,0,0.0,1,0,1,4,2175,0,5,1.0,0,0.0,Irish Republican Army (IRA)
0,1,0.0,0,1,3,3,85,0,6,21.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
0,1,0.0,1,0,2,4,48,0,5,12.0,0,0.0,Revolutionary Armed Forces of Colombia (FARC)
0,0,0.0,1,0,3,16,1810,0,6,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
0,0,0.0,1,0,3,1,765,0,6,1.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,0,0.0,1,0,3,21,1761,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
0,0,1.0,1,0,3,14,818,0,6,1.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
0,0,0.0,1,0,3,1,357,0,6,0.0,1,0.0,African National Congress (South Africa)
0,0,0.0,1,0,2,11,4096,0,5,12.0,1,0.0,Shining Path (SL)
0,0,0.0,1,0,2,1,1089,0,5,0.0,0,0.0,Basque Fatherland and Freedom (ETA)
0,0,1.0,1,0,3,21,4751,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,0,0.0,0,0,1,3,689,0,5,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
0,0,0.0,1,0,2,14,4342,0,5,13.0,0,0.0,Sikh Extremists
0,0,0.0,1,0,2,3,1022,0,5,2.0,0,0.0,Basque Fatherland and Freedom (ETA)
0,0,0.0,1,0,1,3,981,0,5,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
0,0,0.0,1,0,3,14,925,0,6,3.0,-9,0.0,Houthi extremists (Ansar Allah)
0,0,1.0,1,0,3,14,13,0,6,2.0,0,0.0,Al-Qaida in Iraq
0,0,0.0,1,0,3,19,4687,0,6,17.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
0,0,0.0,1,1,3,4,577,0,6,16.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
0,1,0.0,1,0,2,14,884,0,9,0.0,0,0.0,Al-Shabaab
0,0,1.0,1,0,2,14,27,0,8,3.0,1,0.0,Fulani extremists
